"Year","Detrended_Imports"
1960,-2.04259426353641
1961,-1.28976714875688
1962,-0.0495788076078459
1963,0.146961873360542
1964,1.99511781738534
1965,-1.50204328348039
1966,3.09604173365967
1967,7.30878550909863
1968,-0.0244041263093062
1969,-2.03484935109714
1970,2.03481711150685
1971,-1.91988855463346
1972,-5.27272059711713
1973,-2.27306551281729
1974,4.96529285960559
1975,1.99650227295411
1976,-8.09632624235723
1977,-2.54936776619403
1978,-2.39676383398907
1979,-0.519793986864652
1980,6.09083512564982
1981,-0.239468831908231
1982,0.638932385149679
1983,3.76218313159088
1984,3.39190758752745
1985,0.278279784027212
1986,-1.98026889051003
1987,-1.30013802700418
1988,-4.05145112973943
1989,-1.90949093378827
1990,-1.7819190883019
1991,-0.842073209057808
1992,0.0638077639251994
1993,-2.77794539130767
1994,-0.0534819520286936
1995,3.73506077177701
1996,1.59861382518766
1997,5.37052040313545
1998,5.222805827693
1999,1.1498475695615
2000,2.71179520381777
2001,0.187579192333998
2002,-2.1277125133191
2003,-4.24931376396002
2004,-3.05756579643426
2005,-0.74763643246231
2006,-0.626366928594466
2007,0.405686500300671
2008,-0.0879679150670899
2009,-0.861494736177444
2010,1.71904065119991
2011,-3.58025490513952
2012,-4.77127005467812
2013,-2.6274944441411
2014,8.71246406609545
2015,4.36741783346704
2016,-1.69587226805042
2017,-1.60994611357954
